user_id,country,country_region,source,platform,device_family,os_version,event_1,event_2,event_3,revenue
882435b2,fr,Bas-Rhin,Organic,iOS,Apple iPhone,14.4,0,172,3.0,0.617911
5bae56c7,fr,Rhône,Organic,iOS,Apple iPad,14.3,0,0,0.0,0.0
f516e1e7,gb,Rhondda Cynon Taf,Organic,iOS,Apple iPad,14.3,0,2,0.0,0.011629
fc7b3289,br,Sao Paulo,Organic,iOS,Apple iPad,14.3,0,0,0.0,0.0
a85e09c0,br,Ceara,Organic,Android,Motorola Phone,7.1.1,0,110,5.0,0.174171
d9aa32b5,br,Minas Gerais,Organic,Android,Samsung Galaxy Phone,11,0,90,0.0,0.163518
90a5f94b,ch,Vaud,Organic,Android,Samsung Galaxy Phone,8.0.0,0,357,3.0,1.755129
223f27a0,mx,México,Organic,Android,samsung samsung SM-A315G,10,0,205,19.0,0.382696
257517e4,mx,Mexico City,Organic,Android,Samsung Galaxy Phone,6.0.1,0,132,42.0,0.283433
7b9783b2,ch,Geneva,Organic,iOS,Apple iPad,12.4.9,0,0,0.0,0.0
9abcab44,br,Santa Catarina,Organic,iOS,Apple iPhone,14.4,0,57,14.0,0.203998
765ab558,mx,Mexico City,Organic,iOS,"Apple iPad7,11",14.4,0,0,0.0,0.0
61a77cfa,mx,México,Organic,iOS,Apple iPhone,14.4,0,19,3.0,0.068989
58b0624d,mx,Sinaloa,Organic,iOS,Apple iPhone,12.4.1,0,54,4.0,0.17237
776b5090,us,Florida,Organic,iOS,Apple iPad,14.4,0,0,0.0,0.0
16d73771,ch,Valais,Organic,Android,Samsung Galaxy Phone,9,0,0,0.0,0.0
c7fed35b,ng,Lagos,Organic,iOS,Apple iPhone,14.2,0,7,2.0,0.016568
d99a55d6,co,Departamento del Meta,Organic,Android,Motorola Phone,9,0,0,0.0,0.0
7f518941,co,Antioquia,Organic,Android,HUAWEI HUAWEI JNY-LX2,10,0,0,0.0,0.0
c549b60c,co,Bogota D.C.,Organic,Android,samsung samsung SM-N9600,10,0,26,3.0,0.033935
8162a37c,co,Departamento de Santander,Organic,iOS,Apple iPhone,13.7,0,287,4.0,0.577207
601a9379,mx,Nuevo León,Organic,Android,samsung samsung SM-A307G,10,0,190,0.0,0.349361
e1b5a125,mx,México,Organic,Android,Samsung Galaxy Phone,9,0,42,0.0,0.076513
e09f55cd,mx,Mexico City,Organic,Android,Xiaomi Phone,9,0,10,0.0,0.015284
b4ea7211,ar,Buenos Aires F.D.,Organic,iOS,Apple iPhone,14.2,0,292,21.0,0.470592
9eba8737,es,Malaga,,Android,Xiaomi Phone,10,0,56,2.0,0.091336
8a17b5a3,es,Malaga,Organic,Android,Xiaomi Phone,10,0,3,0.0,0.004844
24bc0507,es,Principality of Asturias,Organic,Android,Samsung Galaxy Note,11,0,214,9.0,0.424166
b4237bfd,es,Huesca,Organic,Android,Samsung Galaxy Phone,10,0,231,18.0,0.457719
bce7e841,es,Barcelona,Non-Organic,Android,Xiaomi Phone,11,0,584,50.0,1.016683
4a86d749,es,Ourense,Organic,Android,Huawei Phone,7.0,0,595,67.0,1.038677
5b58cc31,es,Navarre,Organic,Android,Samsung Galaxy Phone,7.1.1,0,106,3.0,0.203343
cdc82e3f,es,Madrid,Organic,android,Xiaomi Phone,9,0,214,1.0,0.327131
477f3692,es,Madrid,Organic,Android,xiaomi Xiaomi Redmi Note 8T,10,0,7,0.0,0.011678
644a867e,es,Barcelona,Organic,Android,Huawei Phone,9,0,81,1.0,0.135049
ebf9802d,es,Madrid,Non-Organic,Android,HUAWEI HUAWEI BAH2-W19,8.0.0,0,76,4.0,0.132636
8bb9f824,es,Santa Cruz de Tenerife,Organic,Android,OPPO OPPO CPH1931,10,0,29,3.0,0.048615
e13128b9,es,Madrid,Organic,Android,Xiaomi Phone,10,0,57,0.0,0.088994
3e5be920,es,Madrid,Organic,Android,samsung samsung SM-A217F,10,0,24,6.0,0.056946
8ea055fd,es,Valencia,Organic,Android,Huawei Phone,10,0,35,0.0,0.057547
fa728207,es,Madrid,Organic,android,Samsung Galaxy Phone,10,0,4,0.0,0.008032
7a1dd947,es,Santa Cruz de Tenerife,Organic,Android,Samsung Galaxy Phone,10,0,159,8.0,0.324503
a2e92afd,es,Madrid,Organic,Android,realme realme RMX2170,10,0,33,0.0,0.052811
147a062c,es,Barcelona,Non-Organic,Android,TCL TCL 5024F_EEA,9,0,119,1.0,0.18804
b32a4e7d,es,Huelva,Organic,Android,Redmi Xiaomi Redmi Note 9 Pro,10,0,941,22.0,1.583832
5545254b,es,Barcelona,Organic,Android,Xiaomi Phone,10,0,99,5.0,0.163811
5cd636ad,es,Madrid,Organic,Android,Redmi Xiaomi M2006C3MNG,10,0,4,0.0,0.006636
9ab3ec05,es,Castellon,Organic,android,Samsung Galaxy Phone,7.0,0,153,0.0,0.290526
4a0f5253,es,Malaga,Non-Organic,Android,xiaomi Xiaomi Redmi Note 8T,10,0,24,0.0,0.038014
731b4c0f,es,Jaen,Non-Organic,Android,Huawei Phone,9,0,121,19.0,0.217648
97870176,es,Seville,Organic,Android,Huawei Phone,9,0,130,4.0,0.216191
e57c391b,es,Seville,Organic,Android,Xiaomi Phone,10,0,205,45.0,0.386801
1bbc3cbc,es,Madrid,Non-Organic,Android,HUAWEI HUAWEI BAH-L09,7.0,0,293,4.0,0.470845
9646f06c,es,Lleida,Organic,Android,Huawei Phone,6.0,0,130,8.0,0.212825
c1841055,es,Albacete,Organic,Android,Lenovo LENOVO Lenovo TB-X306F,10,0,47,0.0,0.076394
2e784309,es,Valencia,Organic,Android,Samsung Galaxy Phone,10,0,25,0.0,0.048273
e52be402,es,Alicante,Non-Organic,android,Huawei Phone,10,0,114,,0.189601
44307836,es,Valencia,Organic,android,Samsung Galaxy Phone,10,0,10,2.0,0.022291
75589297,es,Madrid,Organic,Android,Samsung Galaxy Phone,10,0,56,,0.135111
d82478f1,es,Malaga,Non-Organic,Android,bq bq Aquaris VS Plus,8.1.0,0,82,32.0,0.177755
5496c0b9,es,Cadiz,Organic,Android,Samsung Galaxy Phone,9,0,46,0.0,0.087289
95f64961,es,Toledo,Organic,android,Qilive SNCOIA Q8S6IN4G,7.0,0,21,0.0,0.033108
cd3fa37f,es,Barcelona,Organic,android,Xiaomi Xiaomi Mi Note 10 Lite,11,0,47,2.0,0.076954
c1434e53,es,Barcelona,Organic,Android,Huawei Phone,10,0,5,0.0,0.007933
ea676786,es,Valencia,Organic,Android,Huawei Phone,10,0,159,27.0,0.286987
a311d18a,es,Alicante,Organic,Android,Acer Acer B1-850,5.1,0,222,46.0,0.415741
3a79ed97,es,Cantabria,Organic,Android,Xiaomi Xiaomi Redmi 8,10,0,226,33.0,0.396068
1e1bbc78,es,Madrid,Organic,Android,samsung samsung SM-G996B,11,0,5,0.0,0.009491
1b0fc13f,es,Guadalajara,,Android,samsung samsung SM-G780F,14.4,0,7,0.0,0.013362
5c2724a9,es,Valencia,Organic,Android,Xiaomi Phone,9,0,167,0.0,0.267348
b874a31c,es,Andalusia,Organic,Android,Redmi Xiaomi Redmi Note 9 Pro,10,0,61,0.0,0.095623
d93accda,es,Barcelona,Organic,Android,Samsung Galaxy Phone,10,0,59,0.0,0.112154
ddd77a20,es,Barcelona,Organic,Android,Xiaomi Phone,10,0,17,10.0,0.044492
bb9172f8,es,Ceuta,Organic,Android,Xiaomi Xiaomi M2007J3SY,10,0,32,1.0,0.052202
bb1f0a27,es,Valencia,Organic,Android,Samsung Galaxy Phone,10,0,98,0.0,0.186749
2845a42d,es,Madrid,Organic,Android,Samsung Galaxy Phone,8.1.0,0,27,0.0,0.052713
a9e16d02,es,Madrid,Organic,Android,Samsung Galaxy Phone,10,0,83,8.0,0.175913
fffba8da,es,Principality of Asturias,Organic,Android,Huawei Phone,10,0,91,0.0,0.146983
6244a496,es,Caceres,Non-Organic,Android,Lenovo LENOVO Lenovo TB-X304F,8.1.0,0,141,0.0,0.220799
94c415b5,es,Catalonia,Organic,Android,Samsung Galaxy Phone,10,0,0,0.0,0.0
7acaf74a,do,Provincia de Santo Domingo,Organic,Android,Huawei Phone,10,0,458,1.0,0.15319
e2067b89,ae,Dubai,Non-Organic,Android,Samsung Galaxy Phone,10,0,3,0.0,0.011044
e0e6e2e8,de,Saxony,Organic,Android,Samsung Galaxy Phone,8.0.0,0,36,0.0,0.135198
020828c8,pe,Lima,Organic,android,samsung samsung SM-A015M,10,0,0,0.0,0.0
c995a1b8,fr,,Non-Organic,Android,Xiaomi Phone,10,0,0,0.0,0.0
2e2fff31,fr,Sarthe,Non-Organic,Android,Samsung Galaxy Phone,9,0,149,9.0,0.442004
06f5b076,fr,Pyrénées-Atlantiques,Non-Organic,Android,samsung samsung SM-T830,10,0,369,10.0,1.073852
d5b742ad,fr,Paris,Non-Organic,Android,samsung samsung SM-A105G,10,0,663,12.0,1.969986
5e66967a,co,Departamento de Santander,Organic,Android,Xiaomi Phone,10,0,153,2.0,0.308928
64c87b29,ch,Vaud,Organic,iOS,Apple iPhone,14.4,0,0,87.0,0.559591
a247cbad,be,Flemish Brabant Province,Organic,iOS,Apple iPhone,14.4,0,31,2.0,0.091998
dbbfe58c,es,Valencia,Organic,iOS,Apple iPhone,14.4,0,159,0.0,0.392721
de927f7a,es,Barcelona,Organic,iOS,Apple iPhone,14.4,0,86,8.0,0.222857
87e405b5,es,Balearic Islands,Non-Organic,iOS,Apple iPhone,14.4,0,139,0.0,0.353887
8ba825d5,es,Madrid,Organic,iOS,Apple iPhone,14.3,0,57,0.0,0.14009
991c6414,es,Saragossa,Organic,iOS,Apple iPhone,14.4,0,27,1.0,0.067197
fe692481,es,Lugo,Organic,iOS,Apple iPad,14.3,0,77,0.0,0.185933
6d524910,es,Lleida,Organic,iOS,Apple iPhone,14.2,0,102,1.0,0.249563
cc5995c5,es,Barcelona,Organic,ios,Apple iPhone,14.4,0,5,0.0,0.012004
4767abda,es,Madrid,Organic,iOS,Apple iPhone,14.4,0,57,11.0,0.161793
fc1e47fb,es,Barcelona,Organic,iOS,Apple iPad,14.4,0,68,1.0,0.165186
28964e10,es,Leon,Organic,iOS,Apple iPad,12.5.1,0,0,0.0,0.0
d2cf68e9,es,Leon,Organic,iOS,Apple iPhone,14.4,0,24,0.0,0.058254
ff836621,es,A Coruña,Organic,iOS,"Apple iPad11,6",14.3,0,327,0.0,0.782594
dec6a542,es,Barcelona,Organic,iOS,Apple iPhone,14.4,0,86,0.0,0.210362
0e6a7ea9,es,Huesca,Organic,iOS,Apple iPhone,14.4,0,244,2.0,0.586355
24935d20,es,Pontevedra,Organic,iOS,Apple iPhone,12.5.1,0,982,,2.922411
706102f4,es,Guadalajara,Organic,iOS,Apple iPhone,14.4,0,27,0.0,0.063755
6a22fb3b,mx,Mexico City,Organic,iOS,Apple iPhone,14.4,0,145,1.0,0.435619
8d3b171e,it,Province of Parma,Organic,Android,Xiaomi Xiaomi Mi MIX 2,9,0,2,2.0,0.006603
576117af,it,Provincia di Novara,Organic,Android,Samsung Galaxy Phone,8.0.0,0,39,1.0,0.092521
689d7e68,it,Provincia di Taranto,Organic,Android,Huawei Phone,8.0.0,0,1718,0.0,3.065777
7ebed7eb,it,Turin,Organic,Android,HUAWEI HUAWEI CMR-AL19,9,0,12,0.0,0.021321
78852774,it,Provincia di Perugia,Organic,Android,samsung samsung SM-G781B,9,0,175,0.0,0.386703
55200861,it,Provincia di Macerata,Organic,android,Samsung Galaxy Phone,10,0,13,18.0,0.066305
68bf0752,us,Missouri,Organic,Android,samsung samsung SM-A505U1,10,0,175,1.0,2.230784
542f272f,ve,Mérida,Organic,Android,Huawei Phone,7.0,0,195,6.0,0.107808
20200551,fr,Paris,Organic,iOS,Apple iPhone,14.4,0,20,3.0,0.07978
38edeeea,fr,Paris,Organic,iOS,Apple iPhone,14.4,0,94,2.0,0.343234
add3910e,fr,Gironde,Organic,iOS,"Apple iPad11,6",14.3,0,0,41.0,0.127494
5990ab48,gb,Barnet,Organic,Android,OnePlus OnePlus HD1903,10,0,15,0.0,0.063784
99e8eda3,br,Rio de Janeiro,Organic,Android,samsung samsung SM-J410G,8.1.0,0,141,22.0,0.292945
e926d53c,br,Sao Paulo,Organic,Android,Samsung Galaxy Phone,10,0,83,0.0,0.160901
44a0bafa,br,Sao Paulo,Organic,Android,motorola motorola moto g(8) plus,10,0,0,0.0,0.0
9a2ccb59,mx,Jalisco,Organic,Android,Samsung Galaxy Phone,9,0,0,0.0,0.0
d1136d41,mx,Nuevo León,Organic,Android,motorola motorola moto g(9) plus,10,0,251,20.0,0.38498
0f5cbf8f,mx,Yucatán,Organic,Android,Huawei Phone,9,0,1,0.0,0.001399
7dfcab0a,mx,Mexico City,Organic,Android,Motorola Phone,8.0.0,0,85,4.0,0.123601
a67239d5,mx,México,Organic,android,Xiaomi Phone,10,0,28,0.0,0.039795
a529c84b,mx,Puebla,Organic,Android,HUAWEI HUAWEI JKM-LX3,9,0,89,,0.11935
df333265,mx,Mexico City,Organic,Android,Motorola Phone,10,0,135,76.0,0.292958
4f468301,ch,Zurich,Organic,iOS,Apple iPad,14.4,0,0,0.0,0.0
c95c2200,ch,Vaud,,iOS,Apple iPhone,14.4,0,47,12.0,0.382937
916b8df8,br,Roraima,Organic,iOS,Apple iPad,14.4,0,17,0.0,0.051909
c35b1d7f,us,New York,Organic,iOS,Apple iPhone,14.4,0,25,2.0,0.365034
0c1c6151,co,Atlántico,Organic,Android,samsung samsung SM-A107M,10,0,3,1.0,0.004916
195f9a30,co,Bogota D.C.,Organic,Android,Amlogic Amlogic A95X Plus,8.1.0,0,174,6.0,0.193784
82b9154c,pe,Lima,Organic,iOS,Apple iPhone,14.3,0,26,0.0,5240.739492
82ff70dc,mx,Veracruz,Organic,Android,HUAWEI HUAWEI STK-LX3,10,0,1,0.0,0.001586
f5fd51a2,ar,Buenos Aires F.D.,Organic,iOS,Apple iPad,13.5.1,0,3,1.0,0.005438
760b6dcf,ar,Buenos Aires F.D.,Organic,iOS,Apple iPhone,14.4,0,103,3.0,0.161243
1032edaf,es,Madrid,Non-Organic,Android,Huawei Phone,10,0,108,20.0,0.201061
ce3b0939,es,Madrid,Organic,android,Huawei Phone,10,233,46,1.0,0.074059
500db0aa,es,Castellon,Organic,Android,Xiaomi Xiaomi Redmi 8,10,0,24,5.0,0.043521
e866fc4b,es,Pontevedra,Organic,Android,Huawei Phone,10,0,110,1.0,0.17759
231e2d57,es,Barcelona,Non-Organic,Android,Xiaomi Phone,9,0,136,15.0,0.235293
ea358bdc,es,Cantabria,Organic,Android,Samsung Galaxy Phone,10,0,99,9.0,0.207414
f9692ad1,es,Valencia,Organic,Android,Huawei Phone,6.0,0,7,0.0,0.010973
abb44bcc,es,Madrid,Organic,Android,Samsung Galaxy Phone,10,0,86,0.0,0.164645
8c9f8f15,es,Malaga,,Android,OPPO OPPO CPH2185,10,0,194,4.0,0.31803
04ec2248,es,Las Palmas,,Android,Samsung Galaxy Phone,9,15,26,0.0,0.048756
06cf6f0d,cr,Provincia de San Jose,Organic,Android,samsung samsung SM-N985F,10,0,119,3.0,0.278208
1faa3d56,bo,Departamento de Santa Cruz,Organic,Android,samsung samsung SM-J260MU,8.1.0,0,29,0.0,0.018796
eacfc55b,es,Valencia,Organic,iOS,Apple iPhone,14.4,0,60,11.0,0.167013
b3708a6b,es,Murcia,Organic,iOS,Apple iPhone,14.4,0,6,2.0,0.018168
b12e6c2a,es,Barcelona,Organic,iOS,Apple iPhone,13.7,0,8,0.0,0.020315
0d724b5b,es,Balearic Islands,Organic,iOS,Apple iPhone,14.4,0,197,22.0,0.528855
ecab95e7,es,Huelva,Organic,iOS,Apple iPhone,14.3,0,22,0.0,0.055672
2ccba136,es,Badajoz,Organic,iOS,Apple iPhone,14.4,238,81,0.0,0.198154
991ab5df,es,Balearic Islands,Organic,iOS,Apple iPad,14.4,0,146,2.0,0.365493
a8caca62,es,Madrid,Organic,iOS,Apple iPhone,14.4,0,107,5.0,0.269155
5577f338,es,Asturias,Organic,iOS,Apple iPad,14.4,0,69,0.0,0.169851
2f852ab2,es,Cadiz,Organic,iOS,Apple iPad,14.4,0,181,0.0,0.451186
fddd4c4a,es,Leon,Organic,iOS,Apple iPad,14.0.1,0,79,66.0,0.31706
2e91fdd4,es,Valladolid,Organic,iOS,Apple iPhone,14.3,0,571,2.0,1.398035
e73cc465,es,Biscay,Organic,iOS,Apple iPad,14.4,0,6,0.0,0.014326
3aff8d42,es,Barcelona,Organic,ios,Apple iPad,10.3.3,0,23,0.0,0.056001
8a285656,es,Seville,Organic,iOS,Apple iPhone,14.4,0,54,0.0,0.128937
9a5aafbe,es,Madrid,Organic,iOS,Apple iPhone,14.4,0,0,54.0,0.101138
0b0e9bca,es,Madrid,Organic,iOS,Apple iPhone,14.4,0,104,0.0,0.257575
10be39d6,cl,Santiago Metropolitan,Organic,Android,Samsung Galaxy Phone,10,0,188,46.0,0.544818
19b913ec,mx,Mexico City,Organic,iOS,Apple iPhone,14.3,0,19,2.0,0.060318
c621ce37,it,Province of Florence,Organic,Android,samsung samsung SM-G991B,11,0,1,0.0,0.002064
e1340d4b,us,Florida,Organic,Android,samsung samsung SM-J737T1,9,0,36,0.0,0.426811
8dec7825,co,Departamento de Santander,Organic,iOS,Apple iPhone,14.4,0,152,2.0,0.382372
33780a7b,au,Western Australia,Organic,ios,Apple iPhone,14.4,0,9,0.0,0.05767
a6a41e90,fr,Doubs,Organic,iOS,Apple iPhone,13.6.1,0,10,0.0,0.035688
39c98840,fr,Pyrénées-Orientales,Organic,iOS,Apple iPhone,14.4,0,35,0.0,0.12641
f874e54e,fr,Savoy,Non-Organic,iOS,Apple iPhone,14.4,0,62,0.0,0.229563
4cccf84e,fr,Loire-Atlantique,Non-Organic,iOS,Apple iPhone,14.4,0,46,4.0,0.176989
cefc27bf,fr,Val d'Oise,Organic,iOS,Apple iPhone,14.4,0,186,0.0,0.659333
a360fc74,fr,Upper Savoy,Organic,iOS,Apple iPad,14.4,0,48,7.0,0.183094
d589dda6,be,Brussels Capital,Organic,Android,Samsung Galaxy Phone,10,0,43,4.0,0.131076
3bec7f33,pt,Lisbon,Organic,Android,Samsung Galaxy Tab,7.1.1,0,48,0.0,0.058744
e288d623,mx,Mexico City,Organic,Android,HUAWEI HUAWEI AMN-LX3,9,0,0,0.0,0.0
f46d95bb,mx,Chihuahua,Organic,Android,Samsung Galaxy Phone,10,0,145,20.0,0.276687
96b1dd2b,ca,Quebec,Organic,Android,samsung samsung SM-T290,8.0.0,0,68,3.0,0.373545
8417aaaa,mx,México,Organic,ios,Apple iPhone,13.6.1,0,104,11.0,0.370026
a5bcc856,tn,Gouvernorat de Sfax,Organic,Android,OPPO OPPO CPH2043,10,0,238,4.0,0.05138
eb987fac,us,Florida,Organic,iOS,Apple iPhone,14.3,0,15,0.0,0.187243
41003419,ru,Moscow,Organic,Android,HUAWEI HUAWEI YAL-L21,10,0,0,0.0,0.0
061f9326,cl,Region de Valparaiso,Organic,Android,Samsung Galaxy Phone,9,0,9,1.0,0.020542
43e67798,ca,Quebec,Organic,iOS,"Apple iPad7,11",14.4,0,5,1.0,0.033746
36341a64,co,Bogota D.C.,Non-Organic,Android,HUAWEI HUAWEI TRT-LX1,7.0,0,416,0.0,0.469878
e99c6630,mx,Mexico City,Organic,Android,Lanix Lanix Ilium Alpha 9,8.1.0,0,97,1.0,0.152647
c11da488,mx,Mexico City,Organic,Android,Samsung Galaxy Phone,9,0,1,0.0,0.001955
a0e305f3,us,Florida,Organic,Android,samsung samsung SM-N980F,8.0.0,0,34,9.0,0.172232
0b9e9df7,pt,Lisbon,Organic,iOS,Samsung Galaxy Phone,7.0,0,209,73.0,0.306174
2aa4c134,ar,Buenos Aires,Organic,iOS,Apple iPad,14.4,0,563,47.0,0.871227
2c27a879,ar,Entre Rios,Organic,ios,Apple iPad,14.4,0,212,34.0,0.350048
d5155d4a,es,Badajoz,Organic,Android,Xiaomi Phone,9,0,31,1.0,0.05143
39b1d52e,es,Biscay,Organic,Android,Samsung Galaxy Phone,7.1.1,0,13,1.0,0.026361
d44e990e,es,Biscay,Organic,Android,POCO Xiaomi M2007J20CG,10,0,53,0.0,0.090545
8334a864,es,Valencia,,android,Sony Sony I3312,8.1.0,0,34,14.0,0.077448
71ae1ca0,es,Andalusia,Organic,android,Redmi Xiaomi M2003J15SC,10,0,71,7.0,0.121081
c0e94bb0,es,Seville,Organic,Android,xiaomi Xiaomi Redmi Note 8T,9,0,115,22.0,0.217501
8ecfd56c,es,Castille and León,Organic,Android,Xiaomi Phone,9,0,27,0.0,0.041246
ba476c6c,es,Barcelona,Non-Organic,Android,xiaomi Xiaomi Redmi Note 8T,10,0,25,1.0,0.039753
b732077c,es,Madrid,Non-Organic,Android,Samsung Galaxy Phone,8.0.0,0,126,86.0,0.38556
0b6ce0d3,es,Granada,Organic,Android,samsung samsung SM-N770F,11,0,42,43.0,0.154104
8ab6c177,es,Lleida,Organic,Android,Huawei Phone,8.0.0,0,191,16.0,0.334065
924b7fcc,es,Madrid,Organic,Android,Huawei Phone,9,0,336,91.0,0.661806
1899ae66,es,Valencia,Organic,Android,Xiaomi Phone,10,0,57,2.0,0.09523
fac1500c,co,Bogota D.C.,Organic,Android,motorola motorola motorola one fusion,10,0,11,5.0,0.027296
3338cd81,ch,Zurich,Organic,iOS,Apple iPhone,12.0.1,0,234,6.0,1.571763
ca249bae,uy,Maldonado,Organic,Android,Samsung Galaxy Tab,9,0,1,64.0,0.035035
a4556975,uy,Departamento de Montevideo,Organic,Android,Samsung Galaxy Phone,9,0,134,6.0,0.107014
7b870fc5,be,Walloon Brabant Province,,iOS,Apple iPad,14.4,0,24,0.0,0.072528
671730f9,es,Barcelona,Organic,iOS,Apple iPhone,14.3,0,246,33.0,0.69344
5d704a91,es,Navarre,Organic,iOS,Apple iPhone,14.4,0,55,0.0,0.13776
8fa3a0db,es,Cadiz,Organic,iOS,Apple iPhone,14.4,0,196,6.0,0.482812
beed6816,es,Malaga,Organic,iOS,Apple iPad,14.3,0,3,2.0,0.010852
789db2d6,es,Seville,Organic,iOS,Apple iPad,12.5.1,0,139,0.0,0.35208
150c5765,es,Seville,Organic,iOS,Apple iPhone,14.4,0,4,0.0,0.009745
a9ecf263,es,Asturias,Organic,iOS,Apple iPad,14.4,0,49,1.0,0.120324
b5166d8b,es,Barcelona,Organic,iOS,Apple iPhone,14.4,0,66,16.0,0.192246
09506959,es,Barcelona,Non-Organic,iOS,Apple iPhone,14.4,0,30,2.0,0.076165
cb9c3b86,es,Madrid,Organic,iOS,Apple iPhone,14.4,0,37,0.0,0.0904
8521613d,es,Cadiz,Organic,iOS,Apple iPhone,14.4,0,435,20.0,1.083078
a6605f39,es,Madrid,Organic,iOS,Apple iPhone,14.4,0,646,40.0,1.651655
1f2970d1,es,Madrid,Organic,iOS,Apple iPhone,14.4,0,46,5.0,0.119113
9a96f9d9,es,Malaga,Organic,iOS,Apple iPhone,14.4,0,62,0.0,0.156398
8f3e86b0,es,Madrid,Organic,iOS,Apple iPad,14.4,0,115,0.0,0.294082
34d12b46,es,Murcia,Organic,iOS,Apple iPhone,14.4,0,138,,0.340795
1ae97331,es,Barcelona,Organic,iOS,Apple iPhone,14.4,0,85,1.0,0.214202
bc9c5c29,es,Madrid,Organic,iOS,Apple iPhone,14.0.1,0,43,0.0,0.103614
1498018e,cl,Santiago Metropolitan,Organic,Android,samsung samsung SM-N770F,10,0,109,0.0,0.271088
d4a52f9e,uy,Departamento de Montevideo,Organic,iOS,Apple iPhone,13.7,0,1,0.0,0.001299
b138eedb,mx,México,Organic,ios,Apple iPhone,14.4,0,0,0.0,0.0
fdb34877,mx,Puebla,Organic,iOS,"Apple iPad7,11",14.3,0,1,2.0,0.006485
d7ca2c64,mx,Chihuahua,Organic,iOS,Apple iPhone,14.4,0,0,21.0,0.038475
53d76ec1,us,Georgia,Organic,Android,HUAWEI HUAWEI HMA-L09,10,0,27,0.0,0.285978
42d074ed,tr,Istanbul,Organic,Android,Xiaomi Phone,10,0,102,3.0,0.037074
0f9c363a,fr,Bas-Rhin,Organic,iOS,Apple iPhone,14.4,0,33,41.0,0.260093
